Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Serving Size (Numeric),Calorie Density,Fat to Carb Ratio,Category_Encoded,PCA1,PCA2,Cluster
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220,5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,3,12,44,2,0,2,6,2,12.0,18.333333333333332,0.00980392156862745,7,-2.9060764053075054,-0.10888343426027047,3
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260,5,1.0,1,0.0,0,0.0,5,1,50,2,62,21,4,15,54,3,0,4,8,2,16.0,16.25,0.015873015873015872,7,-2.51875443723865,0.5255810048328919,3
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340,10,1.0,2,0.5,3,0.0,5,2,65,3,79,26,5,19,70,4,0,4,10,2,22.0,15.454545454545455,0.0125,7,-1.9768172398632702,1.5326154050164569,3
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,210,5,0.5,1,0.0,0,0.0,5,1,50,2,47,16,3,10,44,3,0,30,8,2,12.0,17.5,0.010416666666666666,7,-2.7789160214100486,-0.40145498427830734,3
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,250,5,1.0,1,0.0,0,0.0,5,1,60,2,58,19,3,13,54,4,0,35,8,4,16.0,15.625,0.01694915254237288,7,-2.481625567690995,0.13642596099871562,3
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,330,10,1.0,2,0.5,3,0.0,5,2,80,3,74,25,4,16,70,5,0,45,10,4,22.0,15.0,0.013333333333333334,7,-1.8908431529987562,1.0966276195942084,3
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,210,5,0.5,1,0.0,0,0.0,5,1,40,2,50,17,1,4,46,2,30,20,8,2,12.0,17.5,0.00980392156862745,7,-3.234468964818106,0.43222040993393246,3
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,260,10,1.0,1,0.0,0,0.0,5,1,45,2,61,20,1,5,56,3,40,25,8,2,16.0,16.25,0.016129032258064516,7,-2.9945572591956733,1.175097386508186,3
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,340,10,1.0,2,0.5,3,0.0,5,2,60,3,78,26,2,6,72,4,50,30,10,2,22.0,15.454545454545455,0.012658227848101266,7,-2.4726574692093326,2.359299728487247,3
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,530,140,15.0,24,10.0,49,1.0,60,20,160,7,86,29,0,0,63,11,20,0,40,0,12.0,44.166666666666664,0.1724137931034483,7,0.4870824820496747,4.458831306740023,0
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,660,170,19.0,29,12.0,61,1.0,75,24,200,9,109,36,0,0,81,14,25,0,50,0,16.0,41.25,0.17272727272727273,7,1.4774420860324606,6.176753523376571,0
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,550,150,16.0,25,10.0,52,1.0,60,21,160,7,90,30,0,0,79,12,20,0,40,0,12.0,45.833333333333336,0.17582417582417584,7,0.6585027565090894,4.878974377423081,0
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,690,180,20.0,30,13.0,63,1.0,75,25,210,9,114,38,0,0,100,15,25,0,50,0,16.0,43.125,0.17391304347826086,7,1.716403309023879,6.749055452820779,0
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,560,150,16.0,25,10.0,51,1.0,60,20,240,10,91,30,1,5,77,12,20,0,40,8,12.0,46.666666666666664,0.17391304347826086,7,1.3677255653203353,4.576170106093709,0
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,700,180,20.0,30,12.0,62,1.0,75,24,300,13,114,38,2,6,97,15,25,0,50,10,16.0,43.75,0.17391304347826086,7,2.6579984175457643,6.261657994685109,0
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,660,170,19.0,29,12.0,61,1.0,75,24,210,9,109,36,0,0,93,14,25,0,50,0,16.0,41.25,0.17272727272727273,7,1.455984718771088,6.369841258476388,0
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),650,210,23.0,35,14.0,72,0.5,50,17,180,7,96,32,1,6,89,13,15,0,45,8,10.9,59.63302752293578,0.23711340206185566,7,2.3417580005281895,4.95463983787738,0
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),430,140,15.0,24,10.0,48,0.0,35,11,120,5,64,21,1,4,59,9,10,0,30,4,7.3,58.9041095890411,0.23076923076923078,7,0.14593481801572433,2.0245660671313477,3
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),510,150,17.0,26,9.0,44,0.5,45,14,280,12,80,27,1,4,64,12,15,0,40,8,10.1,50.495049504950494,0.20987654320987653,7,0.9570054733010795,3.3314921512637254,0
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),690,200,23.0,35,12.0,58,1.0,55,19,380,16,106,35,1,5,85,15,20,0,50,10,13.4,51.492537313432834,0.21495327102803738,7,2.6395310610964806,5.611580078321546,0
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),340,100,11.0,17,6.0,29,0.0,30,9,190,8,53,18,1,2,43,8,10,0,25,6,6.7,50.74626865671642,0.2037037037037037,7,-0.8246327979674466,0.8980932570289756,3
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),810,290,32.0,50,15.0,76,1.0,60,20,400,17,114,38,2,9,103,21,20,0,60,6,14.2,57.04225352112676,0.2782608695652174,7,4.383406343371753,6.753130036567525,0
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),410,150,16.0,25,8.0,38,0.0,30,10,200,8,57,19,1,5,51,10,10,0,30,4,7.1,57.74647887323944,0.27586206896551724,7,0.1059691432503198,1.4425610064188883,3
